namespace,relation1,method,parameters,relation2,return_class
polynomial,has_method,polygrid2d,"(x, y, c)",return_class,Ndarray
polynomial,has_method,polyvander2d,"(x, y, deg)",return_class,Ndarray
polynomial,has_method,polyfit,"(x, y, deg, rcond=None, full=False, w=None)",return_class,None
polynomial,has_method,polyval3d,"(x, y, z, c)",return_class,Ndarray
polynomial,has_method,polygrid3d,"(x, y, z, c)",return_class,Ndarray
polynomial,has_method,polyvander3d,"(x, y, z, deg)",return_class,Ndarray
polyutils,has_method,as_series,"(alist, trim=True)",return_class,List
polyutils,has_method,trimcoef,"(c, tol=0)",return_class,Ndarray
polyutils,has_method,mapparms,"(old, new)",return_class,Scalars
polyutils,has_method,trimseq,(seq),return_class,Sequence
polyutils,has_method,getdomain,(x),return_class,Ndarray
polyutils,has_method,mapdomain,"(x, old, new)",return_class,Ndarray
testing,has_method,assert_no_warnings,"(*args, **kwargs)",return_class,None
testing,has_method,assert_no_gc_cycles,"(*args, **kwargs)",return_class,None
testing,has_method,assert_array_max_ulp,"(a, b, maxulp=1, dtype=None)",return_class,Ndarray
testing,has_method,assert_string_equal,"(actual, desired)",return_class,None
testing,has_method,assert_almost_equal,"(actual, desired, decimal=7, err_msg='', verbose=True)",return_class,None
testing,has_method,assert_equal,"(actual, desired, err_msg='', verbose=True)",return_class,None
testing,has_method,assert_allclose,"(actual, desired, rtol=1e-07, atol=0, equal_nan=True, err_msg='', verbose=True)",return_class,None
testing,has_method,assert_approx_equal,"(actual, desired, significant=7, err_msg='', verbose=True)",return_class,None
testing,has_method,decorate_methods,"(cls, decorator, testmatch=None)",return_class,None
testing,has_method,measure,"(code_str, times=1, label=None)",return_class,Float
testing,has_method,assert_raises,"(exception_class, callable, *args, **kwargs) assert_raises(exception_class)",return_class,None
testing,has_method,assert_raises_regex,"(exception_class, expected_regexp, callable, *args, **kwargs) assert_raises_regex(exception_class, expected_regexp)",return_class,None
testing,has_method,rundocs,"(filename=None, raise_on_error=True)",return_class,None
testing,has_method,clear_and_catch_warnings,"(record=False, modules=())",return_class,None
testing,has_method,print_assert_equal,"(test_string, actual, desired)",return_class,None
testing,has_method,assert_,"(val, msg='')",return_class,None
testing,has_method,assert_warns,"(warning_class, *args, **kwargs)",return_class,None
testing,has_method,assert_array_almost_equal,"(x, y, decimal=6, err_msg='', verbose=True)",return_class,None
testing,has_method,assert_array_less,"(x, y, err_msg='', verbose=True)",return_class,None
testing,has_method,assert_array_equal,"(x, y, err_msg='', verbose=True, *, strict=False)",return_class,None
testing,has_method,assert_array_almost_equal_nulp,"(x, y, nulp=1)",return_class,None
extbuild,has_method,build_and_import_extension,"(modname, functions, *, prologue='', build_dir=None, include_dirs=[], more_init='')",return_class,None
overrides,has_method,get_overridable_numpy_ufuncs,(),return_class,None
overrides,has_method,get_overridable_numpy_array_functions,(),return_class,None
overrides,has_method,allows_array_function_override,(func),return_class,None
overrides,has_method,allows_array_ufunc_override,(func),return_class,None
